"id","aircaft_event_id","company_id","airline_id","company_name","occurrence_date","dt","occurrence_title","description","occurrence_title_eng","investigation_status_id","investigation_status_name","event_type_id","occurrence_type_id","occurrence_type_name","event_type_title","aircraft_id","aircraft_number","aircraft_type_id","aircraft_type_name","airport_id","airport_name","airport","icao","iata","flight_number","actual_leg_id","occurrence_code_id","occurrence_code_code","occurrence_code_name","classificator_id","classificator_name","classificator_code","adrep_code_id","adrep_code_name","operating_phase_id","detection_phase_id","operating_phase_name","phase","risk_assessment","risk_index","participants_occurrence","occurrence_description","desc_occurrence_investig","causes","comment_eng","conclusion","factor_id","factor","factor_name","factor_title","order_number","date_approval","downtime","replacement_units","cargo_condition","description_costs","airport_charges","travel_expenses","flight_another_aircraft","travel_expenses_le_fc","cov_damage_third_org","expenses_delivery","purchase_spare_parts","work_replacing_pki","work_restore_pki","materials_not_pki","carrying_out_repairs","additional_works","potential_damage","potential_damage_desc","claimed_loss","amounts_paid","grounds_for_events","recommendations","corrective_actions","is_active","is_virtual","is_actual","is_was_external_investiagation","was_external_investiagation","weight","weight_id","rm_weight_id","weight_code","rm_weight_code","weight_name","rm_weight_name","probability_id","rm_probability_id","probability_code","rm_probability_code","probability_name","rm_probability_name","left_pilot_management","add_user_id","add_date","costs_eliminating","time_day_id","time_day_name","utc_time","local_time","is_caa_notification","is_customer_notification","factor_causing_event_id","factor_causing_event_code","factor_causing_event_name","dept_organization","without_damage","risk_index_text","weather_cond_id","weather_cond_name","event_risk_index"
"3","3",1,1,"company_skylight","2022-11-05 00:00:00","2022-11-05 00:00:00","Превышение скорости полета с ручкой управления закрылками в положении 9","Превышение скорости полета с ручкой управления закрылками в положении 9",NULL,NULL,NULL,4,4,"aviation_incident","aviation_incident","6","RA-02752","3","aircraft_type_3","23825","МОСКВА / ВНУКОВО","МОСКВА / ВНУКОВО","UUWW","VKO","RA02752","1088","10732","170840","Отклонения по данным параметрической информации",NULL,NULL,NULL,NULL,NULL,15,15,"Взлет","Взлет",NULL,"0.08",NULL,NULL,NULL,"Событие классифицируется как Инцидент в соответствии с п. 26 ПРАПИ-98 ""Выход за ограничения, оговоренные РЛЭ""",NULL,NULL,1,1,"liveware","liveware",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","N","Y","N",0,"1",9,9,NULL,NULL,NULL,NULL,8,8,NULL,NULL,NULL,NULL,"N",1,"2023-03-20 14:23:15.968971","0",1,"День",517,NULL,"N","N",557,"406","ПРЕДПОЛОЖИТЕЛЬНО ФАКТОРЫ ЭКИПАЖА",NULL,"Y","0.08",NULL,NULL,"0.2"
"2","2",1,1,"company_skylight","2022-10-23 00:00:00","2022-10-23 00:00:00","Позднее выключение автопилота при инструментальном заходе на посадку","Позднее выключение автопилота при инструментальном заходе на посадку",NULL,NULL,NULL,2,2,"precursor","precursor","6","RA-02752","3","aircraft_type_3","23825","МОСКВА / ВНУКОВО","МОСКВА / ВНУКОВО","UUWW","VKO","RA02752","1055","373","1702239","прочие отклонения от летных ограничений",NULL,NULL,NULL,NULL,NULL,40,40,"Заход на посадку","Заход на посадку",NULL,"0.04",NULL,NULL,NULL,"Чрезмерная концентрация внимания обоих пилотов на выдерживание параметров стабилизированного захода на посадку в неблагоприятных метео условиях",NULL,NULL,1,1,"liveware","liveware",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","N","Y","N",0,"0.1",9,9,NULL,NULL,NULL,NULL,9,9,NULL,NULL,NULL,NULL,"N",1,"2023-03-20 14:22:39.38145","0",1,"День",891,NULL,"N","N",557,"406","ПРЕДПОЛОЖИТЕЛЬНО ФАКТОРЫ ЭКИПАЖА",NULL,"Y","0.04",NULL,NULL,NULL
"1","1",1,1,"company_skylight","2022-09-27 00:00:00","2022-09-27 00:00:00","Загрузка в салон сверх нормативного багажа","Загрузка в салон сверх нормативного багажа",NULL,NULL,NULL,4,4,"aviation_incident","aviation_incident","6","RA-02752","3","aircraft_type_3","23709","ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ / ЕЛИЗОВО","ПЕТРОПАВЛОВСК-КАМЧАТСКИЙ / ЕЛИЗОВО","UHPP","PKC","RA02752",NULL,"528","170298","ПРОЧИЕ СОБЫТИЯ",NULL,NULL,NULL,NULL,NULL,1,1,"Стоянка","Стоянка",NULL,"0.08",NULL,NULL,NULL,"Событие классифицируется как Инцидент в соответствии с п. 23 ПРАПИ 98 - Нарушение норм загрузки или центровки воздушного судна, установленных РЛЭ",NULL,NULL,1,1,"liveware","liveware",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","N","Y","N",0,"1",9,9,NULL,NULL,NULL,NULL,8,8,NULL,NULL,NULL,NULL,"N",1,"2023-03-20 14:21:44.227507","0",1,"День",180,720,"N","N",876,"571","НЕДОСТАТКИ В ОРГАНИЗАЦИИ РАБОТ И КОНТРОЛЕ",NULL,"Y","0.08",NULL,NULL,NULL
"15","15",1,1,"company_skylight","2023-05-28 00:00:00","2023-05-28 00:00:00","Предупреждение системы GPWS о чрезмерном снижении ниже глиссады.
Максимальное отклонение от РСЗ глиссады , по данным обработки полетной информации, составило, dots - 1.97","Предупреждение системы GPWS о чрезмерном снижении ниже глиссады.
Максимальное отклонение от РСЗ глиссады , по данным обработки полетной информации, составило, dots - 1.97",NULL,NULL,NULL,11,11,"event_type_11","event_type_11","6","RA-02752","3","aircraft_type_3","23825","МОСКВА / ВНУКОВО","МОСКВА / ВНУКОВО","UUWW","VKO","RA-02752",NULL,"10731","1708","ОТКЛОНЕНИЯ, ВЫЯВЛЕННЫЕ ПО ДАННЫМ ССПИ",NULL,NULL,NULL,NULL,NULL,40,40,"Заход на посадку","Заход на посадку",NULL,"0.24",NULL,NULL,NULL,NULL,NULL,NULL,1,1,"liveware","liveware",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","N","Y","N",0,"1",7,7,NULL,NULL,NULL,NULL,8,8,NULL,NULL,NULL,NULL,"N",7334,"2023-06-09 11:17:25.655245","0",1,"День",752,NULL,"N","N",160,"40","ЭКИПАЖ ВС",NULL,NULL,"0.24",1,"ПМУ",NULL
"50","50",1,1,"company_skylight","2024-11-22 00:00:00","2024-11-22 00:00:00","На глиссаде при H < 1000 ft велико отклонение от равносигнальной зоны курса (более 1/3 dot вправо)","На глиссаде при H < 1000 ft велико отклонение от равносигнальной зоны курса (более 1/3 dot вправо)",NULL,NULL,NULL,1,1,"deviation","deviation","2242","RA-02751","3","aircraft_type_3","28842","ГЕЛЕНДЖИК","ГЕЛЕНДЖИК","URKG","GDZ","2751",NULL,"10731","1708","ОТКЛОНЕНИЯ, ВЫЯВЛЕННЫЕ ПО ДАННЫМ ССПИ",NULL,NULL,NULL,NULL,NULL,45,45,"Предпосадочная прямая","Предпосадочная прямая",NULL,NULL,NULL,NULL,NULL,"Событие недостоверное. Ошибка заложена в программе расшифровки. Вместо 1/3 должно быть 1,3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N","N","Y","N",0,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",7874,"2024-11-26 13:21:48.825775","0",1,"День",864,1044,"N","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"59","59",1,1,"company_skylight","2025-05-16 00:00:00","2025-05-16 00:00:00","с.179 На взлете не установлен режим тяги ALT T/O-1 или T/O. 
Примечание: Взлет производился на режиме Е Т/О.","с.179 На взлете не установлен режим тяги ALT T/O-1 или T/O. 
Примечание: Взлет производился на режиме Е Т/О.",NULL,NULL,NULL,1,1,"deviation","deviation","2242","RA-02751","3","aircraft_type_3","23569","АДЛЕР - СОЧИ","АДЛЕР - СОЧИ","URSS","AER","2751",NULL,"10731","1708","ОТКЛОНЕНИЯ, ВЫЯВЛЕННЫЕ ПО ДАННЫМ ССПИ",NULL,NULL,NULL,NULL,NULL,15,15,"Взлет","Взлет",NULL,"0.04",NULL,NULL,NULL,"Согласно AOM LEGACY 600, E T/O thrust rating является максимально допустимой тягой для взлета. 
Экипажем допускается установка данного режима работы двигателей. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N","N","Y","N",0,"1",9,9,NULL,NULL,NULL,NULL,9,9,NULL,NULL,NULL,NULL,"Y",7874,"2025-05-20 14:42:28.672653","0",1,"День",555,735,"N","N",NULL,NULL,NULL,NULL,"Y","0.04",NULL,NULL,NULL
"40","40",1,1,"company_skylight","2024-07-13 00:00:00","2024-07-13 00:00:00","Большая поперечная перегрузка в полете (более 0.28  g)","Большая поперечная перегрузка в полете (более 0.28  g)",NULL,NULL,NULL,2,2,"precursor","precursor","2422","RA-73538","342","aircraft_type_342","24597","МИЛАС/БОДРУМ","МИЛАС/БОДРУМ","LTFE","BJV","LSK3538",NULL,"10731","1708","ОТКЛОНЕНИЯ, ВЫЯВЛЕННЫЕ ПО ДАННЫМ ССПИ",NULL,NULL,NULL,NULL,NULL,59,59,"Посадка","Посадка",NULL,"0.16",NULL,NULL,NULL,"Причина в неправильной технике посадки в условиях бокового ветра, а именно излишним выдерживанием и не прикрытием креном после касания ВПП основными стойками.",NULL,NULL,1,1,"liveware","liveware",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","N","Y","N",0,"0.1",8,8,NULL,NULL,NULL,NULL,8,8,NULL,NULL,NULL,NULL,"N",7874,"2024-07-16 13:58:44.273408","0",1,"День",738,858,"N","N",7763,"ENVIRONMENT","ВНЕШНЯЯ СРЕДА",NULL,"Y","0.16",NULL,NULL,NULL
"60","60",1,1,"company_skylight","2025-06-10 00:00:00","2025-06-10 00:00:00","Сигнализация EGPWS (уровень Warning) на дисплее об опасном сближении с землей","Сигнализация EGPWS (уровень Warning) на дисплее об опасном сближении с землей",NULL,NULL,NULL,1,1,"deviation","deviation","2442","RA-73539","342","aircraft_type_342","24207","ГОРНО-АЛТАЙСК","ГОРНО-АЛТАЙСК","UNBG","RGK","3539",NULL,"10731","1708","ОТКЛОНЕНИЯ, ВЫЯВЛЕННЫЕ ПО ДАННЫМ ССПИ",NULL,NULL,NULL,NULL,NULL,26,26,"Снижение до высоты эшелона перехода","Снижение до высоты эшелона перехода",NULL,NULL,NULL,NULL,NULL,"Причиной данного события явился сбой в работе GPS.",NULL,NULL,3,3,"environment","environment",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","N","Y","N",0,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y",7874,"2025-06-17 14:12:01.625538","0",1,"День",660,840,"N","N",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"49","49",1,1,"company_skylight","2024-11-06 00:00:00","2024-11-06 00:00:00","Превышена максимально допустимая эксплуатационная скорость полета Vmo. Срабатывание сигнализации MASTER WARNING в полете.","Превышена максимально допустимая эксплуатационная скорость полета Vmo. Срабатывание сигнализации MASTER WARNING в полете.",NULL,NULL,NULL,2,2,"precursor","precursor","2242","RA-02751","3","aircraft_type_3","38372","ТРАБЗОН","ТРАБЗОН","LTCG","TZX","2751",NULL,"10731","1708","ОТКЛОНЕНИЯ, ВЫЯВЛЕННЫЕ ПО ДАННЫМ ССПИ",NULL,NULL,NULL,NULL,NULL,26,26,"Снижение до высоты эшелона перехода","Снижение до высоты эшелона перехода",NULL,"0.08",NULL,NULL,NULL,NULL,NULL,NULL,1,1,"liveware","liveware",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Y","N","Y","N",0,"0.1",8,8,NULL,NULL,NULL,NULL,9,9,NULL,NULL,NULL,NULL,"Y",7874,"2024-11-19 15:11:28.774573","0",1,"День",617,NULL,"N","N",NULL,NULL,NULL,NULL,"Y","0.08",NULL,NULL,NULL
"38","38",1,1,"company_skylight","2024-05-31 00:00:00","2024-05-31 00:00:00","На глиссаде при H < 500 ft вертикальная скорость снижения больше 800 ft/min","На глиссаде при H < 500 ft вертикальная скорость снижения больше 800 ft/min",NULL,NULL,NULL,1,1,"deviation","deviation","7","RA-73533","342","aircraft_type_342","23825","МОСКВА / ВНУКОВО","МОСКВА / ВНУКОВО","UUWW","VKO","3533",NULL,"10731","1708","ОТКЛОНЕНИЯ, ВЫЯВЛЕННЫЕ ПО ДАННЫМ ССПИ",NULL,NULL,NULL,NULL,NULL,45,45,"Предпосадочная прямая","Предпосадочная прямая",NULL,NULL,NULL,NULL,NULL,"При выполнении захода на посадку в условиях сдвига ветра (от слабого до умеренного) и турбулентности экипажем было допущено увеличение вертикальной скорости более 1000 ft при заходе ниже высоты 500 ft. Из объяснений экипажа: В процессе захода UUWW наблюдался сдвиг ветра от слабого до умеренного, также полет проходил в условиях турбулентности.
На высоте около 400 футов AGL в последствии сдвига ветра, был замечен уход самолета под глиссаду снижения с увеличением вертикальной скорости. Система автомата тяги отреагировала на данное отклонение увеличением режима работы двигателей.  Одновременно, были предприняты корректирующие действия для возвращения ВС на глиссаду. Никакой сопутствующей сигнализации об увеличении вертикальной скорости выше допустимой (Sink rate) выявлено не было. Дальнейший заход и посадка прошли без замечаний.",NULL,NULL,1,1,"liveware","liveware",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N","N","Y","N",0,"1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"N",7874,"2024-06-18 11:24:03.854575","0",1,"День",1022,1202,"N","N",7763,"ENVIRONMENT","ВНЕШНЯЯ СРЕДА",NULL,NULL,NULL,1,"ПМУ",NULL
