"dt","aircraft_type_id","qty","qty2"
"2025-01-30 00:00:00",3,2,"130"
"2024-04-04 00:00:00",3,3,"983"
"2024-04-04 00:00:00",342,8,"39"
"2024-04-11 00:00:00",342,3,"1069"
"2024-04-11 00:00:00",2,21,"683"
"2024-09-19 00:00:00",342,2,"331"
"2024-09-19 00:00:00",3,4,"901"
"2023-07-13 00:00:00",1,11,"427"
"2024-09-26 00:00:00",342,9,"865"
"2024-04-18 00:00:00",342,3,"380"
"2024-04-18 00:00:00",3,8,"1434"
"2024-04-25 00:00:00",342,5,"851"
"2024-04-25 00:00:00",3,8,"1231"
"2024-05-02 00:00:00",342,6,"799"
"2023-07-20 00:00:00",2,65,"2453"
"2023-07-20 00:00:00",1,10,"295"
"2023-07-27 00:00:00",2,37,"1270"
"2024-05-02 00:00:00",3,5,"1040"
"2024-09-26 00:00:00",2,37,"1236"
"2023-07-27 00:00:00",3,2,"12"
"2024-05-09 00:00:00",2,31,"1110"
"2023-08-03 00:00:00",2,88,"2543"
"2023-08-10 00:00:00",1,10,"501"
"2023-08-17 00:00:00",1,6,"741"
"2023-08-31 00:00:00",2,56,"2296"
"2023-09-07 00:00:00",2,21,"737"
"2023-09-14 00:00:00",2,62,"2561"
"2025-01-02 00:00:00",2,3,"98"
"2023-09-21 00:00:00",2,60,"2359"
"2023-09-21 00:00:00",1,15,"1597"
"2023-09-28 00:00:00",2,65,"2341"
"2023-10-12 00:00:00",2,16,"681"
"2025-01-09 00:00:00",2,6,"199"
"2023-10-19 00:00:00",342,2,"130"
"2025-01-23 00:00:00",2,3,"121"
"2023-10-26 00:00:00",2,18,"654"
"2023-11-02 00:00:00",342,1,"242"
"2023-11-09 00:00:00",2,29,"1039"
"2025-08-14 00:00:00",342,5,"1505"
"2025-02-27 00:00:00",3,1,"195"
"2024-05-16 00:00:00",2,21,"885"
"2025-03-06 00:00:00",3,2,"255"
"2025-01-23 00:00:00",362,2,"250"
"2025-06-19 00:00:00",362,5,"134"
"2025-07-10 00:00:00",362,4,"349"
"2025-07-17 00:00:00",362,6,"326"
"2025-08-21 00:00:00",362,1,"2"
"2025-08-21 00:00:00",2,57,"1997"
"2025-05-29 00:00:00",3,2,"387"
"2025-07-03 00:00:00",3,4,"645"
"2025-07-31 00:00:00",3,5,"920"
"2025-08-07 00:00:00",3,3,"420"
"2025-08-14 00:00:00",3,8,"1802"
"2024-05-23 00:00:00",342,2,"120"
"2024-05-23 00:00:00",362,2,"178"
"2024-05-30 00:00:00",342,4,"777"
"2024-06-06 00:00:00",2,37,"1513"
"2024-10-03 00:00:00",342,2,"271"
"2023-11-16 00:00:00",342,2,"103"
"2023-11-16 00:00:00",3,5,"790"
"2024-10-03 00:00:00",3,6,"1160"
"2024-06-27 00:00:00",2,22,"601"
"2024-07-04 00:00:00",2,22,"743"
"2024-07-04 00:00:00",3,2,"192"
"2024-07-11 00:00:00",342,4,"708"
"2024-07-11 00:00:00",3,4,"603"
"2024-07-18 00:00:00",342,4,"653"
"2024-07-18 00:00:00",3,3,"748"
"2025-08-21 00:00:00",3,4,"1045"
"2024-08-01 00:00:00",2,53,"1715"
"2024-08-01 00:00:00",3,3,"395"
"2024-08-08 00:00:00",3,9,"1510"
